pair,before_url,after_url,complete
Comparison-1,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-1-Before-Work-1.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-1-After-Work.jpg,yes
Comparison-2,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-2-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-2-After-Work.jpg,yes
Comparison-3,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-3-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-3-After-Work.jpg,yes
Comparison-4,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-4-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-4-After-Work.jpg,yes
Comparison-5,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-5-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-5-After-Work.jpg,yes
Comparison-6,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-6-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-6-After-Work.jpg,yes
Comparison-7,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-7-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-7-After-Work.jpg,yes
Comparison-8,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-8-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-8-After-Work.jpg,yes
Comparison-9,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-9-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-9-After-Work.jpg,yes
Comparison-10,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-10-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-10-After-Work.jpg,yes
Comparison-11,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-11-Before-Work.jpg,http://islandhouse.wales/wp-content/uploads/2020/04/Comparison-11-After-Work.jpg,yes
